TeamId,TeamName,SubmissionDate,Score
27345,mauri,"2012-11-03 12:03:40",0.76555
27345,mauri,"2012-11-03 12:25:03",0.77511
28460,"Squirtle Squad","2012-11-18 20:30:35",0.75598
28460,"Squirtle Squad","2012-11-24 17:24:09",0.77033
31464,dierickx3,"2012-12-23 06:37:54",0.00000
31464,dierickx3,"2012-12-23 06:47:36",0.77990
36178,"Matt Sco","2013-03-06 16:44:00",0.74162
36178,"Matt Sco","2013-03-07 23:21:44",0.77511
36178,"Matt Sco","2013-03-07 23:23:06",0.77990
36178,"Matt Sco","2013-03-08 01:18:43",0.94736
28460,"Squirtle Squad","2013-03-10 17:56:58",0.77990
28460,"Squirtle Squad","2013-03-18 13:31:36",0.78468
47314,"Ruth Gonzaga","2013-06-10 22:27:22",0.57416
47314,"Ruth Gonzaga","2013-06-10 23:41:35",0.64593
47314,"Ruth Gonzaga","2013-06-11 11:36:42",0.76555
47599,"Krishnamoorthy Seetharaman","2013-06-11 15:32:01",0.77033
47723,jvaughn007,"2013-06-11 21:34:06",0.76555
48095,Mauricio,"2013-06-12 19:22:23",0.74162
48095,Mauricio,"2013-06-13 04:13:46",0.77990
48753," Spas","2013-06-14 09:39:52",0.00000
48753," Spas","2013-06-14 09:55:09",0.75119
47599,"Krishnamoorthy Seetharaman","2013-06-14 15:57:11",0.77511
47599,"Krishnamoorthy Seetharaman","2013-06-14 16:42:06",0.78468
49201,jnaour,"2013-06-15 11:05:36",0.78468
49287,"John Fitzpatrick","2013-06-15 14:07:52",0.74162
49287,"John Fitzpatrick","2013-06-15 14:41:53",0.75119
47723,jvaughn007,"2013-06-17 06:11:28",0.78468
48753," Spas","2013-06-22 10:22:08",0.76555
48753," Spas","2013-06-22 18:04:07",0.77033
51980,"Fraser S","2013-06-24 22:25:54",0.76555
49287,"John Fitzpatrick","2013-06-27 23:12:54",0.75598
54279,JubertRoldan,"2013-07-30 04:40:46",0.76555
60668,"Samuel Cahyawijaya","2013-10-07 08:14:37",0.76076
60676,radek,"2013-10-07 09:19:19",0.62679
60676,radek,"2013-10-07 09:23:33",0.76555
60676,radek,"2013-10-07 16:16:23",0.78468
63691,figomac,"2013-11-03 00:22:26",0.52631
67612,simgauts,"2013-12-02 01:25:55",0.77990
71580,Alfredo,"2014-01-13 04:43:18",0.62679
74831,QuantumDamage,"2014-02-03 10:23:00",0.62679
74831,QuantumDamage,"2014-02-06 15:57:04",0.76555
75307,"Yishu Wang","2014-02-07 07:46:51",0.76555
75307,"Yishu Wang","2014-02-08 05:20:52",0.77990
83037,"Fabien Gomez Ruiz","2014-03-22 16:36:44",0.72727
87290,Carabancel,"2014-04-15 08:16:45",0.76076
87290,Carabancel,"2014-04-15 08:29:51",0.77990
87290,Carabancel,"2014-04-16 15:39:33",0.78947
93051,"Claudio 2","2014-05-05 16:47:21",0.76555
93520,"Peter Hurford","2014-05-08 03:37:01",0.78468
93520,"Peter Hurford","2014-05-08 04:05:13",0.79904
93749,"Mark Kinsky","2014-05-10 02:06:29",0.62679
93749,"Mark Kinsky","2014-05-10 02:17:11",0.76555
93749,"Mark Kinsky","2014-05-10 02:44:49",0.77990
93520,"Peter Hurford","2014-05-10 19:01:56",0.80861
93749,"Mark Kinsky","2014-05-11 00:42:23",0.78468
93858,"Ailton Mizuki Sato","2014-05-11 06:09:39",0.66985
93858,"Ailton Mizuki Sato","2014-05-13 21:42:56",0.74162
94327,"Serkan Karabulut","2014-05-14 00:00:23",0.62679
94327,"Serkan Karabulut","2014-05-14 01:30:39",0.76555
94327,"Serkan Karabulut","2014-05-14 04:23:19",0.78468
100362,LOGS,"2014-06-13 04:33:17",0.79425
100908,Saint-Tropez,"2014-06-16 22:27:31",0.75119
100362,LOGS,"2014-06-25 18:30:46",0.79904
100362,LOGS,"2014-06-30 20:49:03",0.93779
105057,"Thomas Nolan","2014-07-09 14:57:11",0.75598
105057,"Thomas Nolan","2014-07-17 01:43:41",0.77511
105057,"Thomas Nolan","2014-07-23 16:08:18",0.77990
105057,"Thomas Nolan","2014-07-23 16:18:35",0.78468
105057,"Thomas Nolan","2014-07-23 16:49:08",0.79425
105057,"Thomas Nolan","2014-07-23 18:00:44",0.81339
109480,vinaymy,"2014-08-03 21:58:49",0.76555
109480,vinaymy,"2014-08-03 22:33:31",0.77990
109453,"MD Ameruddin","2014-08-04 18:00:23",0.77990
111001,"Asif Iqbal","2014-08-07 02:04:39",0.73205
111001,"Asif Iqbal","2014-08-09 20:45:51",0.74641
111001,"Asif Iqbal","2014-08-11 00:19:36",0.76076
111001,"Asif Iqbal","2014-08-13 00:28:17",0.76555
112182,"Florian 2","2014-08-14 20:12:42",0.76555
112182,"Florian 2","2014-08-14 20:39:07",0.77033
112193,"Nikita Kotlyarov","2014-08-14 21:39:04",0.73205
112182,"Florian 2","2014-08-15 06:57:36",0.78468
112413,"Ivan Yeo","2014-08-16 09:57:12",0.75598
112413,"Ivan Yeo","2014-08-17 03:51:00",0.77990
112193,"Nikita Kotlyarov","2014-08-17 22:37:18",0.73684
112193,"Nikita Kotlyarov","2014-08-17 22:49:33",0.76076
112193,"Nikita Kotlyarov","2014-08-18 19:35:22",0.77990
113237,"Gani Simsek","2014-08-20 13:19:04",0.76555
111001,"Asif Iqbal","2014-08-24 01:41:50",0.77990
111001,"Asif Iqbal","2014-08-25 00:53:53",0.78468
111001,"Asif Iqbal","2014-08-28 03:05:33",0.79425
111001,"Asif Iqbal","2014-08-29 02:35:02",0.79904
111001,"Asif Iqbal","2014-08-29 02:38:46",0.80382
111001,"Asif Iqbal","2014-08-29 02:49:18",0.81339
115014,RReader,"2014-08-30 19:31:57",0.76555
117113,akrot,"2014-09-15 06:01:41",0.78468
117113,akrot,"2014-09-15 06:16:46",0.79425
117926,krusheel,"2014-09-19 18:38:36",0.62679
117926,krusheel,"2014-09-19 18:51:58",0.76555
117926,krusheel,"2014-09-19 20:01:14",0.77033
117926,krusheel,"2014-09-20 07:18:07",0.78468
117926,krusheel,"2014-09-23 08:39:04",0.79425
119269,long_wave,"2014-09-29 20:19:39",0.76555
120996,"Endre Szolnoki","2014-10-11 20:22:42",0.75598
120996,"Endre Szolnoki","2014-10-11 22:44:26",0.76076
120996,"Endre Szolnoki","2014-10-12 15:48:04",0.77033
121934,"adam 4","2014-10-18 21:05:02",0.77511
94824,"Russ Boucher","2014-10-19 18:48:34",0.75598
94824,"Russ Boucher","2014-10-19 18:52:45",0.76076
94824,"Russ Boucher","2014-10-19 19:04:23",0.79904
94824,"Russ Boucher","2014-11-08 22:15:04",0.80382
94824,"Russ Boucher","2014-11-15 19:12:50",0.80861
127721,"Riley Dallas","2014-11-23 19:43:08",0.62679
127721,"Riley Dallas","2014-11-23 20:02:32",0.76555
127721,"Riley Dallas","2014-11-23 20:35:49",0.78468
127721,"Riley Dallas","2014-11-24 05:02:08",0.80861
130963,"Balaji Venkat","2014-12-10 06:45:09",0.50239
131035,Juan,"2014-12-10 16:39:01",0.62679
131035,Juan,"2014-12-10 20:15:36",0.76555
134291,mxx,"2014-12-20 14:53:08",0.75598
134291,mxx,"2014-12-20 15:03:04",0.76076
134291,mxx,"2014-12-21 12:23:34",0.77033
134291,mxx,"2014-12-21 13:04:12",0.77990
136415,DFridman,"2015-01-01 19:42:45",0.62200
136415,DFridman,"2015-01-01 20:43:18",0.76555
136415,DFridman,"2015-01-02 09:47:08",0.77033
136415,DFridman,"2015-01-02 10:02:05",0.78468
131035,Juan,"2015-01-04 23:53:34",0.78468
148717,"Sai Krishna","2015-02-24 17:07:15",0.59330
148717,"Sai Krishna","2015-02-24 17:23:21",0.74641
148717,"Sai Krishna","2015-02-26 18:36:04",0.77511
134291,mxx,"2015-02-28 17:10:54",0.78947
152590,"Rajan Sethi","2015-03-05 11:44:30",0.62679
152590,"Rajan Sethi","2015-03-05 11:56:26",0.76555
152590,"Rajan Sethi","2015-03-23 10:12:17",0.78468
152590,"Rajan Sethi","2015-03-23 11:14:04",0.79425
160144,Sadhave,"2015-03-27 09:27:47",0.62679
160144,Sadhave,"2015-03-28 16:58:32",0.76555
160144,Sadhave,"2015-03-28 17:38:03",0.77990
160144,Sadhave,"2015-03-29 08:28:23",0.79425
164361,"Alexandre Neto","2015-04-07 23:39:25",0.76555
164361,"Alexandre Neto","2015-04-08 00:19:04",0.77990
165381,"maxim 2","2015-04-10 00:24:40",0.62679
165381,"maxim 2","2015-04-10 01:03:41",0.77990
165381,"maxim 2","2015-04-10 01:57:25",0.79425
166283,Archana,"2015-04-12 15:49:34",0.57894
166283,Archana,"2015-04-12 15:54:19",0.61722
166283,Archana,"2015-04-14 03:41:29",0.77511
165381,"maxim 2","2015-04-28 22:58:45",0.81339
175552,"Randall Fernando","2015-04-30 00:46:48",0.75598
175552,"Randall Fernando","2015-04-30 01:04:17",0.78468
180291,"Ghilas BELHADJ","2015-05-10 23:10:08",0.79904
185212,ingeniouXY,"2015-05-27 03:38:18",0.76555
49287,"John Fitzpatrick","2015-06-02 23:26:26",0.78468
187210,"newbie 2","2015-06-03 09:59:36",0.76555
187210,"newbie 2","2015-06-03 10:01:26",0.78468
187210,"newbie 2","2015-06-03 10:02:48",0.80382
49287,"John Fitzpatrick","2015-06-04 23:36:40",0.80382
60668,"Samuel Cahyawijaya","2015-06-05 07:41:53",0.76555
60668,"Samuel Cahyawijaya","2015-06-05 08:31:02",0.77033
190693,jagan,"2015-06-16 16:10:47",0.62679
190693,jagan,"2015-06-16 16:21:20",0.76555
190693,jagan,"2015-06-16 16:49:12",0.77990
190693,jagan,"2015-06-17 06:46:25",0.78468
48753," Spas","2015-06-20 18:43:43",0.77511
48753," Spas","2015-06-20 18:51:21",0.77990
48753," Spas","2015-06-25 18:38:32",0.78947
193302,Divinorum,"2015-06-28 05:34:31",0.76555
193302,Divinorum,"2015-06-28 19:55:32",0.78468
193302,Divinorum,"2015-06-28 21:26:16",0.80382
196262,"FSBDS Johnny","2015-07-05 18:58:32",0.72248
196352,NaraLee,"2015-07-06 04:56:50",0.62679
196352,NaraLee,"2015-07-06 05:08:25",0.76555
196262,"FSBDS Johnny","2015-07-12 10:47:52",0.76555
199884,HarshalErande,"2015-07-16 09:06:03",0.77990
200261,xunqiu2,"2015-07-17 07:37:19",0.78468
196262,"FSBDS Johnny","2015-07-21 12:45:05",0.79425
185212,ingeniouXY,"2015-07-23 21:22:10",0.77033
185212,ingeniouXY,"2015-07-23 23:18:10",0.77511
196262,"FSBDS Johnny","2015-07-28 15:24:35",0.80382
204111,ZrHm7232,"2015-07-29 05:28:30",0.78468
204111,ZrHm7232,"2015-07-29 12:17:06",0.79425
204111,ZrHm7232,"2015-08-04 10:26:43",0.80382
206183,evilsyncope,"2015-08-04 16:32:48",0.58851
206430,zhenyiy,"2015-08-05 20:37:52",0.75119
206183,evilsyncope,"2015-08-06 19:36:46",0.75119
207963,KhloudKhalid,"2015-08-13 11:39:02",0.76555
207963,KhloudKhalid,"2015-08-13 12:33:07",0.77990
48753," Spas","2015-08-19 17:30:35",0.79904
148717,"Sai Krishna","2015-08-22 12:00:03",0.81339
210739,"Daniel O'Keeffe","2015-08-23 13:01:27",0.75598
71580,Alfredo,"2015-08-23 14:36:19",0.76555
71580,Alfredo,"2015-08-23 14:38:50",0.77990
211246,"Lauren Steely","2015-08-25 04:45:02",0.76555
211246,"Lauren Steely","2015-08-25 04:56:09",0.78468
211246,"Lauren Steely","2015-08-25 05:23:57",0.80382
215366,Baldoino,"2015-09-07 23:23:16",0.78468
215366,Baldoino,"2015-09-07 23:33:18",0.80382
216843,RishiSharma,"2015-09-12 20:15:50",0.78468
100908,Saint-Tropez,"2015-09-19 20:04:32",0.75598
100908,Saint-Tropez,"2015-09-19 21:38:54",0.78947
219101,"Michael John Paul Nismal","2015-09-21 07:44:54",0.76555
219529,"elsie 2","2015-09-22 19:49:18",0.77033
219888,DrRob,"2015-09-23 22:49:11",0.76555
219888,DrRob,"2015-09-23 23:29:45",0.77990
222362,LeandroAgopian,"2015-10-03 17:46:16",0.76555
222362,LeandroAgopian,"2015-10-03 17:57:35",0.79425
222354,JoydeepMukherjee,"2015-10-03 18:30:55",0.72248
222702,sproctor,"2015-10-04 21:43:15",0.78468
222702,sproctor,"2015-10-05 00:05:38",0.80382
84463,SVN,"2015-10-09 05:56:06",0.78468
224530,JishnuDey,"2015-10-09 11:47:50",0.76555
224530,JishnuDey,"2015-10-09 12:19:50",0.78468
224530,JishnuDey,"2015-10-09 12:51:38",0.80382
224798,"Karthik Siva","2015-10-10 04:14:01",0.75119
224798,"Karthik Siva","2015-10-10 05:54:43",0.77033
224798,"Karthik Siva","2015-10-10 06:13:54",0.78947
225202,YangFeng,"2015-10-11 10:21:44",0.74641
226186,"Samuli 2","2015-10-13 21:48:04",0.76555
